,Films,Year,GoldenGlobes,Nominations
566,Defiance,2009,0,1
567,"Defiant Ones, The",1959,1,6
568,"Delicate Balance, A",1974,0,1
569,Deliverance,1973,0,5
570,"Departed, The",2007,1,6
571,"Descendants, The",2012,2,5
572,Desire In The Dust,1961,0,1
573,Desperately Seeking Susan,1986,0,1
574,Despicable Me,2011,0,1
575,Despicable Me 2,2014,0,1
576,Destination Moon,1951,0,1
577,Destroyer,2019,0,1
578,Detective Story,1952,0,3
579,"Devil Wears Prada, The",2007,1,3
580,"Diary of Anne Frank, The",1960,1,6
581,Diary of a Mad Housewife,1971,2,5
582,Dick Tracy,1991,0,4
583,Die Another Day,2003,0,1
584,Dillinger,1974,0,1
585,Diner,1983,0,1
586,Dirty Dancing,1988,1,4
587,"Dirty Dozen, The",1968,0,1
588,Dirty Rotten Scoundrels,1989,0,1
589,"Disaster Artist, The ",2018,1,2
590,"Discreet Charm of the Bourgeoisie, The",1973,0,1
591,District 9,2010,0,1
592,Divine Madness,1981,0,1
593,Divines,2017,0,1
594,"Divorce, Italian Style",1963,2,2
595,Django Unchained,2013,2,5
596,"Do Ankhen Barah Haath (Two Eyes, Twelve Hands)",1959,1,1
597,Do Not Disturb,1966,0,1
598,Do The Right Thing,1990,0,4
599,Doctor Dolittle,1968,1,5
600,Doctor Zhivago,1966,5,6
601,Dog Day Afternoon,1976,0,7
602,Dominick & Eugene,1989,0,1
603,Don Juan DeMarco,1996,0,2
604,Don't Go Near The Water,1958,0,2
605,Dona Flor and Her Two Husbands,1979,0,1
606,Doubt,2009,0,5
607,"Dove, The",1975,1,2
608,Down and Out In Beverly Hills,1987,0,2
609,Downsizing,2018,0,1
610,Dr. No,1964,1,1
611,Dr. Seuss' How The Grinch Stole Christmas!,2001,0,1
612,"Dream of Passion, A",1979,0,1
613,Dreamgirls,2007,3,5
614,Dressed To Kill,1981,0,1
615,Drive,2012,0,1
616,Driving Miss Daisy,1990,3,3
617,"Dry White Season, A",1990,0,1
618,"Duchess and The Dirtwater Fox, The",1977,0,1
619,"Duchess, The",2009,0,1
620,Duet for One,1987,0,1
621,Dumplin',2019,0,1
622,Dunkirk,2018,0,3
623,Duplicity,2010,0,1
624,E. T. The Extra-Terrestrial,1983,2,5
625,Earthquake,1975,0,2
626,East of Eden,1956,2,2
627,East/West,2000,0,1
628,Eastern Promises,2008,0,3
629,Easy A,2011,0,1
630,Easy Rider,1970,0,1
631,Eat Drink Man Woman,1995,0,1
632,Ed Wood,1995,1,3
633,"Eddy Duchin Story, The",1956,0,1
634,Educating Rita,1984,2,4
635,"Education, An",2010,0,1
636,Edward Scissorhands,1991,0,1
637,"Edward, My Son",1950,0,1
638,"Effect of Gamma Rays on Man-In-The-Moon Marigolds, The",1973,0,1
639,"Egyptian, The",1954,0,1
640,Eighth Grade,2019,0,1
641,El Cid,1962,1,4
642,Election,2000,0,1
643,Electra Glide In Blue,1974,0,1
644,"Elephant Man, The",1981,0,4
645,Elizabeth,1999,1,3
646,Elizabeth:  The Golden Age,2008,0,1
647,Elle,2017,2,2
