,Films,Year,Oscars,Nominations
483,Beyond Silence,1998,0,1
484,Beyond the Forest,1950,0,1
485,Beyond the Lights,2015,0,1
486,Beyond the Line of Duty,1943,1,1
487,Beyond the Walls,1985,0,1
488,Bicentennial Man,2000,0,1
489,Big,1989,0,2
490,Big Broadcast of 1936,1936,0,1
491,Big City Blues,1963,0,1
492,Big Fish,2004,0,1
493,Big Hero 6,2015,1,1
494,Big Mama,2001,1,1
495,Billy Budd,1963,0,1
496,Billy Elliot,2001,0,3
497,Billy Rose's Jumbo,1963,0,1
498,Billy the Kid,1942,0,1
499,Binta and the Great Idea (Binta Y La Gran Idea),2007,0,1
500,Birch Street Gym,1992,0,1
501,Bird,1989,1,1
502,Birdman of Alcatraz,1963,0,4
503,Birdman or (The Unexpected Virtue of Ignorance),2015,4,9
504,"Birdnesters of Thailand (aka ""Shadow Hunters"")",1992,0,1
505,Birds Anonymous,1958,1,1
506,"Birds Do It, Bees Do It",1976,0,1
507,Birth of the Blues,1942,0,1
508,Birthday Boy,2005,0,1
509,Bite the Bullet,1976,0,2
510,Bitter Rice,1951,0,1
511,Bitter Sweet,1941,0,2
512,Biutiful,2011,0,2
513,BlacKkKlansman,2019,1,6
514,Black Fox,1963,1,1
515,Black Fury,1936,0,1
516,Black Hawk Down,2002,2,4
517,Black Legion,1938,0,1
518,Black Narcissus,1948,2,2
519,Black Orpheus,1960,1,1
520,Black Panther,2019,3,6
521,Black Rain,1990,0,2
522,Black Rider (Schwarzfahrer),1994,1,1
523,Black Sheep,2019,0,1
524,Black Swan,2011,1,5
525,Black and White in Color,1977,1,1
526,Blackboard Jungle,1956,0,4
527,Blackfly,1992,0,1
528,Blackwood,1977,0,1
529,Blade Runner,1983,0,2
530,Blade Runner 2049,2018,2,5
531,Blake,1970,0,1
532,Blaze,1990,0,1
533,Blaze Busters,1951,0,1
534,Blazing Saddles,1975,0,3
535,Bless the Beasts & Children,1972,0,1
536,Blind Vaysha,2017,0,1
537,Blindscape,1994,0,1
538,Blithe Spirit,1947,1,1
539,Blitz Wolf,1943,0,1
540,Block-Heads,1939,0,1
541,Blockade,1939,0,2
542,Blood Diamond,2007,0,5
543,Blood Ties: The Life and Work of Sally Mann,1994,0,1
544,Blood and Sand,1942,1,2
545,Blood on the Land,1966,0,1
546,Blood on the Sun,1946,1,1
547,Bloodbrothers,1979,0,1
548,Blossoms in the Dust,1942,1,4
549,Blow-Up,1967,0,2
550,Blue Grass Gentlemen,1945,0,1
551,Blue Jasmine,2014,1,3
552,Blue Skies,1947,0,2
553,Blue Sky,1995,1,1
554,Blue Thunder,1984,0,1
555,Blue Valentine,2011,0,1
556,Blue Velvet,1987,0,1
557,Blues Highway,1995,0,1
558,Blues in the Night,1942,0,1
559,Board and Care,1980,1,1
560,Bob & Carol & Ted & Alice,1970,0,4
561,Bob's Birthday,1995,1,1
562,Body Team 12,2016,0,1
563,Body and Soul,1948,1,3
564,Bohemian Rhapsody,2019,4,5
565,Bolt,2009,0,1
566,Bombalera,1945,0,1
567,Bombardier,1944,0,1
568,Bomber,1942,0,1
569,Bon Voyage!,1963,0,2
570,Bonnie and Clyde,1968,2,10
571,Boogaloo and Graham,2015,0,1
572,Boogie Nights,1998,0,3
573,Boogie Woogie Bugle Boy of Company B,1942,0,1
574,Boom Town,1941,0,2
575,Boomerang!,1948,0,1
576,Borat Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2007,0,1
577,Border,2019,0,1
578,Bored of Education,1937,1,1
579,Born Free,1967,2,2
580,Born Yesterday,1951,1,5
581,Born into Brothels,2005,1,1
582,Born on the Fourth of July,1990,2,8
583,Born to Dance,1937,0,2
584,Borrowed Time,2017,0,1
585,Bosom Friends,1935,0,1
586,Bound for Glory,1977,2,6
587,Boundin',2004,0,1
588,Bowling for Columbine,2003,1,1
589,Boy and the World,2016,0,1
590,Boy on a Dolphin,1958,0,1
