,Films,Year,Oscars,Nominations
2267,Mouse and Garden,1961,0,1
2268,Movie Pests,1945,0,1
2269,Mr. & Mrs. Bridge,1991,0,1
2270,Mr. Blabbermouth!,1943,0,1
2271,Mr. Deeds Goes to Town,1937,1,5
2272,Mr. Dodd Takes the Air,1938,0,1
2273,Mr. Gardenia Jones,1943,0,1
2274,Mr. Holland's Opus,1996,0,1
2275,Mr. Hublot,2014,1,1
2276,Mr. Hulot's Holiday,1956,0,1
2277,Mr. Saturday Night,1993,0,1
2278,Mr. Skeffington,1945,0,2
2279,Mr. Smith Goes to Washington,1940,1,11
2280,Mr. Turner,2015,0,4
2281,Mrs. Brown,1998,0,2
2282,Mrs. Doubtfire,1994,1,1
2283,Mrs. Henderson Presents,2006,0,2
2284,Mrs. Miniver,1943,6,12
2285,Mrs. Parkington,1945,0,2
2286,Mt. Head,2003,0,1
2287,Mudbound,2018,0,3
2288,Muddy River,1982,0,1
2289,Mulan,1999,0,1
2290,Mulholland Drive,2002,0,1
2291,Munich,2006,0,5
2292,Munro,1961,1,1
2293,Mural on Our Street,1966,0,1
2294,Murder on a Sunday Morning,2002,1,1
2295,Murder on the Orient Express,1975,1,6
2296,"Murder, Inc.",1961,0,1
2297,Murderball,2006,0,1
2298,Murmur of the Heart,1973,0,1
2299,Murphy's Romance,1986,0,2
2300,Music Box,1990,0,1
2301,Music by Prudence,2010,1,1
2302,Music for Millions,1946,0,1
2303,Music for the Movies: Bernard Herrmann,1993,0,1
2304,Music in Manhattan,1945,0,1
2305,Music in My Heart,1941,0,1
2306,Music of the Heart,2000,0,2
2307,Mustang,2016,0,1
2308,Mutiny on the Bounty,1936,1,8
2309,Mutiny on the Bounty,1963,0,7
2310,My Architect,2004,0,1
2311,My Beautiful Laundrette,1987,0,1
2312,My Best Friend's Wedding,1998,0,1
2313,My Big Fat Greek Wedding,2003,0,1
2314,My Boy Johnny,1945,0,1
2315,My Brilliant Career,1981,0,1
2316,My Country 'Tis of Thee,1951,0,1
2317,"My Country, My Country",2007,0,1
2318,My Cousin Rachel,1953,0,4
2319,My Cousin Vinny,1993,1,1
2320,My Dearest Señorita,1973,0,1
2321,My Fair Lady,1965,8,12
2322,"My Family, Mi Familia",1996,0,1
2323,My Favorite Wife,1941,0,3
2324,My Favorite Year,1983,0,1
2325,My Financial Career,1964,0,1
2326,My Foolish Heart,1950,0,2
2327,My Gal Sal,1943,1,2
2328,My Geisha,1963,0,1
2329,My Grandmother Ironed the King's Shirts,2000,0,1
2330,My Left Foot,1990,2,5
2331,My Life as a Dog,1988,0,2
2332,My Life as a Zucchini,2017,0,1
2333,My Love (Moya Lyubov),2008,0,1
2334,My Man Godfrey,1937,0,6
2335,My Mother Dreams the Satan's Disciples in New York,2000,1,1
2336,My Nephew Emmett,2018,0,1
2337,My Night at Maud's,1970,0,1
2338,My Night at Maud's,1971,0,1
2339,My Sister Eileen,1943,0,1
2340,My Son John,1953,0,1
2341,"My Son, My Son!",1941,0,1
2342,My Sweet Little Village,1987,0,1
2343,My Uncle,1959,1,1
2344,My Week with Marilyn,2012,0,2
2345,My Wild Irish Rose,1948,0,1
2346,Mysteries of the Deep,1960,0,1
2347,Mysterious Castles of Clay,1979,0,1
2348,Mystery Of Love,2018,0,1
2349,Mystery Street,1951,0,1
2350,Mystic River,2004,2,6
2351,Na Wewe,2011,0,1
2352,Nails,1980,0,1
2353,Naked Yoga,1975,0,1
2354,Napoleon and Samantha,1973,0,1
2355,Nashville,1976,1,5
2356,National Velvet,1946,2,5
2357,Nature's Half Acre,1952,1,1
2358,Naughty Marietta,1936,1,2
2359,Navajo,1953,0,2
2360,Nebraska,2014,0,6
2361,Negative Space,2018,0,1
2362,Neighbours,1953,1,2
2363,Nell,1995,0,1
2364,Nelly's Folly,1962,0,1
2365,Neptune's Daughter,1950,1,1
2366,Network,1977,4,10
2367,Never Cry Wolf,1984,0,1
2368,Never Give Up: The 20th Century Odyssey of Herbert Zipper,1996,0,1
2369,Never Look Away,2019,0,2
2370,Never on Sunday,1961,1,5
2371,New Americans,1945,0,1
2372,New Boy,2009,0,1
2373,Nibbles,2004,0,1
2374,Nicholas and Alexandra,1972,2,6
2375,Night Must Fall,1938,0,2
2376,Night People,1955,0,1
2377,Night Train,1942,0,1
2378,Night and Day,1947,0,1
2379,Nightcrawler,2015,0,1
2380,Nightlife,1977,0,1
2381,Nights and Days,1977,0,1
2382,Nine,2010,0,4
2383,Nine Lives,1958,0,1
2384,Nine from Little Rock,1965,1,1
2385,Nine to Five,1981,0,1
2386,Ninotchka,1940,0,4
2387,Nixon,1996,0,4
2388,No,2013,0,1
2389,No Country for Old Men,2008,4,8
2390,No End in Sight,2008,0,1
2391,No Hunting,1956,0,1
2392,No Man's Land,2002,1,1
2393,No Sad Songs for Me,1951,0,1
2394,No Time for Love,1945,0,1
2395,No Time for Nuts,2007,0,1
2396,No Way Out,1951,0,1
2397,Noah's Ark,1960,0,1
2398,Nobody's Fool,1995,0,2
2399,Nocturnal Animals,2017,0,1
2400,None Shall Escape,1945,0,1
2401,None but the Lonely Heart,1945,1,4
2402,Norbit,2008,0,1
2403,Norma Rae,1980,2,4
2404,Norman Rockwell's World...An American Dream,1973,1,1
2405,North Country,2006,0,2
2406,North West Mounted Police,1941,1,5
2407,North by Northwest,1960,0,3
2408,Northwest Passage,1941,0,1
2409,Norway in Revolt,1942,0,1
2410,Not as a Stranger,1956,0,1
2411,Notes on a Scandal,2007,0,4
2412,Notes on the Popular Arts,1978,0,1
2413,Notorious,1947,0,2
2414,Now Hear This,1963,0,1
2415,Now You See It,1948,0,1
2416,"Now, Voyager",1943,1,3
2417,Nowhere in Africa,2003,1,1
2418,Nudnik #2,1965,0,1
2419,Number One,1977,0,1
2420,Number Our Days,1977,1,1
2421,Nurse Edith Cavell,1940,0,1
2422,"O Brother, Where Art Thou?",2001,0,2
2423,O Quatrilho,1996,0,1
2424,O.J.: Made in America,2017,1,1
2425,"Objective, Burma!",1946,0,3
2426,Obsession,1977,0,1
2427,Odd Man Out,1948,0,1
2428,Of Fathers and Sons,2019,0,1
2429,Of Human Bondage,1935,0,1
2430,Of Human Hearts,1939,0,1
2431,Of Men and Demons,1970,0,1
2432,Of Mice and Men,1940,0,4
2433,Of Pups and Puzzles,1942,1,1
2434,"Of Time, Tombs and Treasure",1978,0,1
2435,Off the Edge,1977,0,1
2436,"Oh Brother, My Brother",1980,0,1
2437,Oh My Darling,1979,0,1
2438,"Oh, God!",1978,0,1
2439,"Oh, My Nerves",1936,0,1
2440,Oisin,1971,0,1
2441,Oklahoma!,1956,2,4
2442,Oktapodi,2009,0,1
2443,Old Mill Pond,1937,0,1
2444,Oliver!,1969,5,11
2445,Omar,2014,0,1
2446,Omnibus,1993,1,1
2447,On Any Sunday,1972,0,1
2448,On Body and Soul,2018,0,1
2449,On Golden Pond,1982,3,10
2450,On Hope,1995,0,1
2451,On Tiptoe: Gentle Steps to Freedom,2001,0,1
2452,On the Beach,1960,0,2
2453,On the Bowery,1958,0,1
2454,On the Riviera,1952,0,2
2455,On the Ropes,2000,0,1
2456,On the Town,1950,1,1
2457,On the Twelfth Day...,1956,0,1
2458,On the Waterfront,1955,8,12
2459,Once,2008,1,1
2460,"Once More, My Darling",1950,0,1
2461,Once upon a Honeymoon,1943,0,1
2462,One Day Crossing,2001,0,1
2463,One Day in September,2000,1,1
2464,One Droopy Knight,1958,0,1
2465,One Fine Day,1997,0,1
2466,One Flew over the Cuckoo's Nest,1976,5,9
2467,One Foot in Heaven,1942,0,1
2468,One Hour with You,1933,0,1
2469,One Hundred Men and a Girl,1938,1,5
2470,One Man Band,2006,0,1
2471,One Million B.C.,1941,0,2
2472,One Night of Love,1935,2,6
2473,"One Potato, Two Potato",1965,0,1
2474,One Small Step,2019,0,1
2475,One Survivor Remembers,1996,1,1
2476,One True Thing,1999,0,1
2477,One Way Passage,1934,1,1
2478,One Who Came Back,1952,0,1
2479,One from the Heart,1983,0,1
2480,One in a Million,1937,0,1
2481,One of Our Aircraft Is Missing,1943,0,2
2482,"One, Two, Three",1962,0,1
2483,One-Eyed Jacks,1962,0,1
2484,One-Eyed Men Are Kings,1975,1,1
2485,Only Angels Have Wings,1940,0,1
2486,Only When I Laugh,1982,0,3
2487,Open City,1947,0,1
2488,Open Doors,1991,0,1
2489,Open Heart,2013,0,1
2490,Operation Blue Jay,1954,0,1
2491,Operation Homecoming: Writing the Wartime Experience,2008,0,1
2492,Operation Petticoat,1960,0,1
2493,Operation Thunderbolt,1978,0,1
2494,Operation Vittles,1949,0,1
2495,Operator 13,1935,0,1
2496,Orchestra Wives,1943,0,1
2497,Ordinary People,1981,4,6
2498,Orlando,1994,0,2
2499,Oscar and Lucinda,1998,0,1
2500,Otello,1987,0,1
2501,Othello,1966,0,4
2502,Other Voices,1969,0,1
2503,Our Curse,2015,0,1
2504,Our Dancing Daughters,1930,0,2
2505,Our Time Is Up,2006,0,1
2506,Our Town,1941,0,6
2507,Our Very Own,1951,0,1
2508,Out of Africa,1986,7,11
2509,Out of Sight,1999,0,2
2510,Outland,1982,0,1
2511,Outside the Law (Hors-la-loi),2011,0,1
2512,Ouverture,1966,0,1
2513,"Over There, 1914-18",1965,0,1
2514,Overnight Sensation,1984,0,1
2515,Overture,1959,0,1
2516,Pacific Liner,1939,0,1
2517,Paddle to the Sea,1968,0,1
2518,Paint Your Wagon,1970,0,1
2519,Paisan,1950,0,1
2520,Paix Sur Les Champs,1971,0,1
2521,Pal Joey,1958,0,4
2522,Pan,1963,0,1
2523,Pan's Labyrinth,2007,3,6
2524,Panic in the Streets,1951,1,1
2525,Papa's Delicate Condition,1964,1,1
2526,Paper Moon,1974,1,4
2527,Paperman,2013,1,1
2528,Papillon,1974,0,1
2529,ParaNorman,2013,0,1
2530,Paradise,1985,0,1
2531,Paradise Lost 3: Purgatory,2012,0,1
2532,Paradise Now,2006,0,1
2533,Paramount News Issue #37 (Twentieth Anniversary Issue!  1927.....1947),1947,0,1
2534,Parenthood,1990,0,2
2535,Paris 36,2010,0,1
2536,Paris Blues,1962,0,1
2537,Paris--Underground,1946,0,1
2538,Partners,1994,0,1
2539,Parvaneh,2015,0,1
2540,Passengers,2017,0,2
2541,Passion Fish,1993,0,2
2542,Passport to Nowhere,1948,0,1
2543,Passport to Pimlico,1950,0,1
2544,Pat and Mike,1953,0,1
2545,Patch Adams,1999,0,1
2546,Pathfinder,1988,0,1
2547,Patton,1971,7,10
2548,Paul Bunyan,1959,0,1
2549,Paul Robeson: Tribute to an Artist,1980,1,1
2550,Paw,1960,0,1
2551,Peace on Earth,1940,0,1
2552,Pear Cider and Cigarettes,2017,0,1
2553,Pearl,2017,0,1
2554,Pearl Harbor,2002,1,4
2555,Peggy Sue Got Married,1987,0,3
2556,Pelle the Conqueror,1989,1,2
2557,Pennies from Heaven,1937,0,1
2558,Pennies from Heaven,1982,0,3
2559,Penny Serenade,1942,0,1
2560,Penny Wisdom,1938,1,1
2561,Pentecost,2012,0,1
2562,People Soup,1970,0,1
2563,People of the Wind,1977,0,1
2564,Pepe,1961,0,7
2565,Period of Adjustment,1963,0,1
2566,Period. End of Sentence.,2019,1,1
2567,Perri,1958,0,1
2568,Persepolis,2008,0,1
2569,Pete 'n' Tillie,1973,0,2
2570,Pete Kelly's Blues,1956,0,1
2571,Pete's Dragon,1978,0,2
2572,Peter & the Wolf,2008,1,1
2573,Peter Ibbetson,1936,0,1
2574,Peyton Place,1958,0,9
2575,Phaedra,1963,0,1
2576,Phantom Thread,2018,1,6
2577,Phantom of the Opera,1944,2,4
2578,Phantom of the Paradise,1975,0,1
2579,Pharaoh,1967,0,1
2580,Philadelphia,1994,2,5
2581,Philomena,2014,0,4
2582,Pianissimo,1964,0,1
2583,Pickup on South Street,1954,0,1
2584,Picnic,1956,2,6
2585,Pieces of April,2004,0,1
2586,Pieces of Dreams,1971,0,1
2587,Pigs Is Pigs,1955,0,1
2588,Pigs in a Polka,1943,0,1
2589,Pigskin Parade,1937,0,1
2590,Pillow Talk,1960,1,5
2591,Pina,2012,0,1
2592,Pink and Blue Blues,1953,0,1
2593,Pinky,1950,0,3
2594,Pinocchio,1941,2,2
2595,Piper,2017,1,1
2596,Pirates,1987,0,1
2597,Pirates of the Caribbean: At World's End,2008,0,2
2598,Pirates of the Caribbean: Dead Man's Chest,2007,1,4
2599,Pirates of the Caribbean: The Curse of the Black Pearl,2004,0,5
2600,Pit__k_ Mun Kaikki Hoitaa? (Do I Have to Take Care of Everything?),2014,0,1
2601,Places in the Heart,1985,2,7
2602,Placido,1962,0,1
2603,Plan for Destruction,1944,0,1
2604,Planet Ocean,1975,0,1
2605,Planet of the Apes,1969,0,2
2606,Platoon,1987,4,8
2607,Pleasantville,1999,0,3
2608,Pluto's Blue Note,1948,0,1
2609,Plymouth Adventure,1953,1,1
2610,Pocahontas,1996,2,2
2611,Pocketful of Miracles,1962,0,3
2612,Poetic Justice,1994,0,1
2613,Point of View,1966,0,1
2614,Pollock,2001,1,2
2615,Poltergeist,1983,0,3
2616,Poltergeist II: The Other Side,1987,0,1
2617,Popular Science J-6-2,1937,0,1
2618,Popular Science J-7-1,1938,0,1
2619,Porgy and Bess,1960,1,4
2620,Portia on Trial,1938,0,1
2621,Portrait of Chieko,1968,0,1
2622,Portrait of Imogen,1989,0,1
2623,Portrait of Jennie,1949,1,2
2624,Portugal,1958,0,1
2625,Poseidon,2007,0,1
2626,Possessed,1948,0,1
2627,Possessions,2014,0,1
2628,Postcards from the Edge,1991,0,2
2629,Poster Girl,2011,0,1
2630,Precious Images,1987,1,1
2631,Precious: Based on the Novel 'Push' by Sapphire,2010,2,6
2632,Predator,1988,0,1
2633,Prelude,1969,0,1
2634,Prelude to War,1943,0,1
2635,Presto,2009,0,1
2636,Pretty Baby,1979,0,1
2637,Pretty Woman,1991,0,1
2638,Pride & Prejudice,2006,0,4
2639,Pride and Prejudice,1941,1,1
2640,Pride of the Marines,1946,0,1
2641,Primal Fear,1997,0,1
2642,Primary Colors,1999,0,2
2643,Primrose Path,1941,0,1
2644,Prince of Foxes,1950,0,2
2645,Prince of the City,1982,0,1
2646,Princess O'Rourke,1944,1,1
2647,Princeton: A Search for Answers,1974,1,1
2648,Prison Terminal: The Last Days of Private Jack Hall,2014,0,1
2649,Prisoner of Paradise,2003,0,1
2650,Prisoner of the Mountains,1997,0,1
2651,Prisoners,2014,0,1
2652,Private Benjamin,1981,0,3
2653,Private Life,1983,0,1
2654,Private Smith of the U.S.A.,1943,0,1
2655,Private Worlds,1936,0,1
2656,Prizzi's Honor,1986,1,8
2657,Probes in Space,1976,0,1
2658,Project Hope,1962,1,1
2659,Prologue,2016,0,1
2660,Prometheus,2013,0,1
2661,Promises,2002,0,1
2662,Promises to Keep,1989,0,1
2663,Prophet without Honor,1940,0,1
2664,Psychiatric Nursing,1959,0,1
2665,Psycho,1961,0,4
2666,Pulcinella,1974,0,1
2667,Pulp Fiction,1995,1,7
2668,Purple Rain,1985,1,1
2669,Puss Gets the Boot,1941,0,1
2670,Puss in Boots,2012,0,1
2671,Pygmalion,1939,1,4
2672,Qivitoq,1957,0,1
2673,Quality Street,1938,0,1
2674,Queen Bee,1956,0,2
2675,Queen Margot,1995,0,1
2676,Quest,1997,1,1
2677,Quest for Camelot,1999,0,1
2678,Quest for Fire,1983,1,1
2679,Quicker 'N a Wink,1941,1,1
2680,Quiero Ser (I want to be...),2001,1,1
2681,Quiet Please!,1946,1,1
2682,Quills,2001,0,3
2683,Quiz Show,1995,0,4
2684,Quo Vadis,1952,0,8
2685,RBG,2019,0,1
2686,Rabbit Hole,2011,0,1
2687,Rabbit à la Berlin,2010,0,1
2688,Rachel Getting Married,2009,0,1
2689,"Rachel, Rachel",1969,0,4
2690,Racing Extinction,2016,0,1
2691,Radio Bikini,1988,0,1
2692,Radio Days,1988,0,2
2693,Raffles,1931,0,1
2694,Raging Bull,1981,2,8
2695,Ragtime,1982,0,8
2696,Raiders of the Lost Ark,1982,4,8
2697,Rain Man,1989,4,8
2698,Rainbow War,1986,0,1
2699,Raintree County,1958,0,4
2700,Raise the Red Lantern,1992,0,1
2701,Raju,2012,0,1
2702,Ralph Breaks the Internet,2019,0,1
2703,Rambling Rose,1992,0,2
2704,Rambo: First Blood Part II,1986,0,1
2705,Ran,1986,1,4
2706,Random Harvest,1943,0,7
2707,Rango,2012,1,1
2708,Raoni,1979,0,1
2709,Rashomon,1953,0,1
2710,Rasputin and the Empress,1934,0,1
2711,Ratatouille,2008,1,5
2712,Raven's End,1965,0,1
2713,Ray,2005,2,6
2714,Ray's Male Heterosexual Dance Hall,1988,1,1
2715,Ready Player One,2019,0,1
2716,"Ready, Willing and Able",1938,0,1
2717,Real Steel,2012,0,1
2718,Reap the Wild Wind,1943,1,3
2719,Rear Window,1955,0,4
2720,Reason and Emotion,1944,0,1
2721,Rebecca,1941,2,11
2722,Rebel in Paradise,1961,0,1
2723,Rebel without a Cause,1956,0,3
2724,"Reci, Reci, Reci... (Words, Words, Words)",1993,0,1
2725,Recollections of Pavlovsk,1985,0,1
2726,Recycled Life,2007,0,1
2727,Red,1995,0,3
2728,Red Garters,1955,0,1
2729,Red Grooms: Sunflower in a Hothouse,1987,0,1
2730,Red River,1949,0,2
2731,Redemption,2013,0,1
2732,Reds,1982,3,12
2733,Redux Riding Hood,1998,0,1
2734,Regret to Inform,1999,0,1
2735,Rehearsing a Dream,2007,0,1
2736,Rejected,2001,0,1
2737,Rembrandt: A Self-Portrait,1955,0,1
2738,Remember Me,1980,0,1
2739,Remember Me,2018,1,1
2740,Remo Williams: The Adventure Begins,1986,0,1
2741,Report from the Aleutians,1944,0,1
2742,Requiem for a Dream,2001,0,1
2743,Resisting Enemy Interrogation,1945,0,1
2744,Restoration,1996,2,2
2745,Restrepo,2011,0,1
2746,Resurrection,1981,0,2
2747,Return of the Jedi,1984,0,4
2748,Return of the Seven,1967,0,1
2749,Return to Glennascaul,1954,0,1
2750,Return to Oz,1986,0,1
2751,"Reuben, Reuben",1984,0,2
2752,Reunion in Vienna,1934,0,1
2753,Revanche,2009,0,1
2754,Reversal of Fortune,1991,1,3
2755,Revolting Rhymes,2018,0,1
2756,Revolutionary Road,2009,0,3
2757,Rhapsody in Blue,1946,0,2
2758,Rhapsody in Rivets,1942,0,1
2759,Rhythm in the Ranks,1942,0,1
2760,Rhythm on the River,1941,0,1
2761,"Rich, Young and Pretty",1952,0,1
2762,Richard III,1957,0,1
2763,Richard III,1996,0,2
2764,Ride the Pink Horse,1948,0,1
2765,Ridicule,1997,0,1
2766,Ridin' on a Rainbow,1942,0,1
2767,Ridin' the Rails,1952,0,1
2768,Riding High,1944,0,1
2769,Rio,2012,0,1
2770,Rip Van Winkle,1979,0,1
2771,Rippling Romance,1946,0,1
2772,Rise of the Planet of the Apes,2012,0,1
2773,Road to Morocco,1943,0,2
2774,Road to Perdition,2003,1,6
2775,Road to Rio,1948,0,1
2776,Road to Utopia,1947,0,1
2777,Rob Roy,1996,0,1
2778,Robert Frost: A Lover's Quarrel with the World,1964,1,1
2779,Robert Kennedy Remembered,1969,1,1
2780,Roberta,1936,0,1
2781,Robin Hood,1974,0,1
2782,Robin Hood: Prince of Thieves,1992,0,1
2783,Robin Hoodlum,1949,0,1
2784,Robin and the 7 Hoods,1965,0,2
2785,RoboCop,1988,0,2
2786,Rocky,1977,3,10
2787,Rocky III,1983,0,1
2788,Rogue Cop,1955,0,1
2789,Rogue One: A Star Wars Story,2017,0,2
2790,Roland Joffé,1985,0,1
2791,Roller Derby Girl,1950,0,1
2792,Roma,2019,3,10
2793,Roman Holiday,1954,3,10
2794,"Roman J. Israel, Esq.",2018,0,1
2795,Romance,1931,0,2
2796,Romance of Radium,1938,0,1
2797,Romance of Transportation,1953,0,1
2798,Romance on the High Seas,1949,0,2
2799,Romancing the Stone,1985,0,1
2800,Romeo and Juliet,1937,0,4
2801,Romeo and Juliet,1969,2,4
2802,Rooftops of New York,1962,0,1
2803,Room,2016,1,4
2804,Room at the Top,1960,2,6
2805,Room on the Broom,2014,0,1
2806,Roommates,1996,0,1
2807,Rooty Toot Toot,1952,0,1
2808,Rose Kennedy: A Life to Remember,1991,0,1
2809,Rosemary's Baby,1969,1,2
2810,Royal Scotland,1953,0,1
2811,Royal Wedding,1952,0,1
2812,Rugged Bear,1954,0,1
2813,Ruggles of Red Gap,1936,0,1
2814,Runaway Brain,1996,0,1
2815,Runaway Train,1986,0,3
2816,Running on Empty,1989,0,2
2817,Russian Soil,1942,0,1
2818,Ryan,2005,1,1
2819,Ryan's Daughter,1971,2,4
2820,Sabrina,1955,1,6
2821,Sabrina,1996,0,2
2822,Sadie Thompson,1929,0,2
2823,Sagebrush and Silver,1942,0,1
2824,Sahara,1944,0,3
2825,Saint Matthew Passion,1967,0,1
2826,Sal of Singapore,1930,0,1
2827,Salaam Bombay!,1989,0,1
2828,Salim Baba,2008,0,1
2829,Sallah,1965,0,1
2830,Sally,1931,0,1
2831,Salt,2011,0,1
2832,Salty O'Rourke,1946,0,1
2833,Saludos Amigos,1944,0,3
2834,Salvador,1987,0,2
2835,Sam,1987,0,1
2836,Samba-Mania,1949,0,1
2837,"Same Time, Next Year",1979,0,4
2838,Samoa,1957,0,1
2839,Samson and Delilah,1951,2,5
2840,San Antonio,1946,0,2
2841,San Francisco,1937,1,6
2842,Sand,1950,0,1
2843,Sandakan No. 8,1976,0,1
2844,Sands of Iwo Jima,1950,0,4
2845,Sandy Claws,1955,0,1
2846,Sanjay’s Super Team,2016,0,1
2847,Saraband,1950,0,1
2848,Sarah and Son,1931,0,1
2849,Saratoga Trunk,1947,0,1
2850,Sari's Mother,2008,0,1
2851,Saturday Night Fever,1978,0,1
2852,Save the Tiger,1974,1,3
2853,Saving Face,2012,1,1
2854,Saving Mr. Banks,2014,0,1
2855,Saving Private Ryan,1999,5,11
2856,Say Goodbye,1971,0,1
2857,Say One for Me,1960,0,1
2858,Sayonara,1958,4,10
2859,Scared Straight!,1979,1,1
2860,Scent of a Woman,1976,0,2
2861,Scent of a Woman,1993,1,4
2862,Schindler's List,1994,7,12
2863,School in the Mailbox,1948,0,1
2864,School of Assassins,1995,0,1
2865,Schtonk!,1993,0,1
2866,Scottsboro: An American Tragedy,2001,0,1
2867,Scratch-As-Catch-Can,1933,0,1
2868,Screen Play,1993,0,1
2869,Screen Snapshots' 25th Anniversary,1946,0,1
2870,Screen Snapshots' 50th Anniversary of Motion Pictures,1945,0,1
2871,Screen Souvenirs,1933,0,1
2872,Scrooge,1971,0,4
2873,Scrooged,1989,0,1
2874,Seabiscuit,2004,0,7
2875,Seal Island,1949,1,1
2876,Seance on a Wet Afternoon,1965,0,1
2877,Searching for Bobby Fischer,1994,0,1
2878,Searching for Sugar Man,2013,1,1
2879,Seawards the Great Ships,1962,1,1
2880,Second Chorus,1941,0,2
2881,Second Class Mail,1986,0,1
2882,Second Fiddle,1940,0,1
2883,Seconds,1967,0,1
2884,Secret Command,1945,0,1
2885,Secrets & Lies,1997,0,5
2886,Secrets of the Heart,1998,0,1
2887,See What I Say,1982,0,1
2888,See You at the Pillar,1968,0,1
2889,Seeds of Destiny,1947,1,1
2890,Seeing Hands,1944,0,1
2891,Seeing Red,1984,0,1
2892,Self Defense--For Cowards,1963,0,1
2893,Selling Out,1973,0,1
2894,Selma,2015,1,2
2895,Sensations of 1945,1945,0,1
2896,Sense and Sensibility,1996,1,7
2897,Sentinels of Silence,1972,2,2
2898,Senzeni Na? (What Have We Done?),1991,0,1
2899,Separate Tables,1959,2,7
2900,Seraglio,2001,0,1
2901,Serengeti Shall Not Die,1960,1,1
2902,Sergeant York,1942,2,11
2903,Serpico,1974,0,2
2904,Service with the Colors,1941,0,1
2905,Session Man,1992,1,1
2906,Seven,1996,0,1
2907,Seven Beauties,1977,0,4
2908,Seven Brides for Seven Brothers,1955,1,5
2909,Seven Days in May,1965,0,2
2910,Seven Days to Noon,1952,1,1
2911,Seven Thieves,1961,0,1
2912,Sewing Woman,1984,0,1
2913,Sexy Beast,2002,0,1
2914,Shadow of a Doubt,1944,0,1
2915,Shadow of the Vampire,2001,0,2
2916,Shadowlands,1994,0,2
2917,Shaft,1972,1,2
2918,Shakespeare in Love,1999,7,13
2919,Shall We Dance,1938,0,1
2920,Shallow,2019,1,1
2921,Shampoo,1976,1,4
2922,Shane,1954,1,6
2923,Shanghai Express,1933,1,3
2924,Shanghai Triad,1996,0,1
2925,Shanks,1975,0,1
2926,Shark Tale,2005,0,1
2927,Shaun the Sheep Movie,2016,0,1
2928,She,1936,0,1
2929,She Done Him Wrong,1934,0,1
2930,She Loves Me Not,1935,0,1
2931,She Married a Cop,1940,0,1
2932,She Wore a Yellow Ribbon,1950,1,1
2933,Shenandoah,1966,0,1
2934,Sherlock Holmes,2010,0,2
2935,Shine,1997,1,7
2936,Ship of Fools,1966,2,8
2937,Shirley Valentine,1990,0,2
2938,Shoe-Shine,1948,0,1
2939,Shoeshine,1988,0,1
2940,Shok,2016,0,1
2941,Shoplifters,2019,0,1
2942,Short Cuts,1994,0,1
2943,Should Wives Work?,1938,0,1
2944,Show Boat,1952,0,2
2945,Shrek,2002,1,2
2946,Shrek 2,2005,0,2
2947,Shut Up...I'm Crying,1971,0,1
2948,Siam,1955,0,1
2949,Sicario,2016,0,3
2950,Sicko,2008,0,1
2951,Sideways,2005,1,5
2952,Sidney's Family Tree,1959,0,1
2953,Siege,1941,0,1
2954,Silence,2017,0,1
2955,Silent Nights,2017,0,1
2956,Silkwood,1984,0,5
2957,Silver Linings Playbook,2013,1,8
2958,Silver Queen,1943,0,2
2959,Silver Streak,1977,0,1
2960,Silver into Gold,1988,0,1
2961,Silverado,1986,0,2
2962,Sinbad the Sailor,1937,0,1
2963,Since You Went Away,1945,1,9
2964,Sing,2017,1,1
2965,Sing Your Way Home,1946,0,1
2966,Sing!,2002,0,1
2967,"Sing, Baby, Sing",1937,0,1
2968,Singin' in the Rain,1953,0,2
2969,Singing Guns,1951,0,1
2970,Sister Kenny,1947,0,1
2971,Sister Rose's Passion,2005,0,1
2972,Sisyphus,1976,0,1
2973,Sitting Pretty,1949,0,1
2974,Six Degrees of Separation,1994,0,1
2975,Six Shooter,2006,1,1
2976,Six-Sided Triangle,1964,0,1
2977,Skaterdater,1966,0,1
2978,Skin,2019,1,1
2979,Skippy,1932,1,4
2980,Sky over Holland,1968,0,1
2981,Skyfall,2013,2,5
2982,Skylark,1942,0,1
2983,Skyscraper,1930,0,1
2984,Skyscraper,1960,0,1
2985,Sleepers,1997,0,1
2986,Sleeping Beauty,1960,0,1
2987,Sleepless in Seattle,1994,0,2
2988,Sleepy Hollow,2000,1,3
2989,Sleuth,1973,0,4
2990,Sling Blade,1997,1,2
2991,Slumdog Millionaire,2009,8,10
2992,Small Talk,1994,0,1
2993,Small Town Girl,1954,0,1
2994,Smart Money,1932,0,1
2995,Smart as a Fox,1947,0,1
2996,Smash-Up--The Story of a Woman,1948,0,2
2997,Smile Pinki,2009,1,1
2998,Smilin' Through,1934,0,1
2999,Smokey and the Bandit,1978,0,1
3000,Snow,1966,0,1
3001,Snow Capers,1949,0,1
3002,Snow Carnival,1950,0,1
3003,Snow Falling on Cedars,2000,0,1
3004,Snow White and the Huntsman,2013,0,2
3005,Snow White and the Seven Dwarfs,1938,0,1
3006,Snows of Aorangi,1959,0,1
3007,So Dear to My Heart,1950,0,1
3008,So Ends Our Night,1942,0,1
3009,So Much for So Little,1950,0,1
3010,So Proudly We Hail!,1944,0,4
3011,So This Is Harris,1934,1,1
3012,So This Is Washington,1944,0,1
3013,So You Think You're Not Guilty,1950,0,1
3014,So You Want to Be in Pictures,1948,0,1
3015,So You Want to Be on the Radio,1949,0,1
